ID;Name;Longitude_WGS84;Latitude_WGS84;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;PlaceDescription;Works;geodata_center;geoarea
Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Административный округ;Район;Маршруты;Название остановки;Направление;Наличие павильона;Балансодержатель павильона ожидания (пилона, табло, АПБ);Состояние записи;global_id;Описание места расположения объекта;Работы;geodata_center;geoarea
7;«Дербеневская наб.», 3-й Дербеневский переулок (от центра) (7);37.6551636;55.72566817;Южный административный округ;Даниловский район;"А913; АС932";Дербеневская наб.;от центра;да;ГУП «Мосгортранс»;активна;889076457;Дербеневская ул., д.1;;;
11;«Наб. Тараса Шевченко», набережная Тараса Шевченко (в центр) (11);37.57227413;55.74967848;Западный административный округ;район Дорогомилово;"А205; А622";Наб. Тараса Шевченко;в центр;нет;;активна;889076459;Кутузовский просп., д.1;;;
27;«Кардиоцентр», 3-я Черепковская улица (в центр) (27);37.37550932;55.7572642;Западный административный округ;район Кунцево;"А660; А798; А816";Кардиоцентр;в центр;да;ГУП «Мосгортранс»;активна;889076461;3-я Черепковская ул., д.15А;;;
33;«Новосущёвская ул.», улица Сущёвский Вал (в центр) (33);37.60337594;55.79289095;Северо-Восточный административный округ;район Марьина Роща;"А126; Ас484; Ат18; Ат42";Новосущёвская ул.;в центр;да;ЗАО «Валль-СНГ»;активна;889076463;ул. Сущёвский Вал, д.25;;;
35;«Керамический пр.», Дубнинская улица (в центр) (35);37.55724554;55.89460802;Северный административный округ;район Восточное Дегунино;"А167; А179; А499; А677; А677к";Керамический пр.;в центр;да;ГУП «Мосгортранс»;активна;889076464;Дубнинская ул., д.85;;"{""coordinates"":[37.55724554,55.89460802],""type"":""Point""}";
36;«Ин-т стали», Дубнинская улица (в центр) (36);37.55729147;55.89142924;Северный административный округ;район Восточное Дегунино;"А167; А179; А499; А677; А677К";Ин-т стали;в центр;да;ГУП «Мосгортранс»;активна;889076465;Дубнинская ул., д.79, к.17;;;
37;«Мкр. Дубки», Дубнинская улица (в центр) (37);37.55730686;55.88768746;Северный административный округ;район Восточное Дегунино;"А167; А179; А499; А677; А677к";Мкр. Дубки;в центр;нет;;активна;889076466;Дубнинская ул., д.77;;;
38;«ДК «Юность», Дубнинская улица (в центр) (38);37.55736439;55.88335892;Северный административный округ;район Восточное Дегунино;"А167; А179; А499; А677; А677К";ДК «Юность»;в центр;да;ГУП «Мосгортранс»;активна;889076467;Дубнинская ул., д.73А;;;
39;«Баскетбольная школа», улица 800-летия Москвы (в центр) (39);37.55636146;55.88011364;Северный административный округ;район Восточное Дегунино;"А149; А167; А179; А499; А748; А857";Баскетбольная школа;в центр;да;ГУП «Мосгортранс»;активна;889076469;ул. 800-летия Москвы, д.5, к.1;;;
40;«Ул. 800-летия Москвы», Дмитровское шоссе (в центр) (40);37.54599654;55.87767168;Северный административный округ;Бескудниковский район;"А63; А179; А563; А763; АТ36; АТ78";Ул. 800-летия Москвы;в центр;да;ГУП «Мосгортранс»;активна;889076470;Дмитровское ш., д.105, к.1;;;
41;«Бескудниково», Дмитровское шоссе (в центр) (41);37.54704248;55.87458982;Северный административный округ;Бескудниковский район;"А63; А179; А563; А763; АТ36; АТ78";Бескудниково;в центр;да;ГУП «Мосгортранс»;активна;889076471;Дмитровское ш., д.99, к.1;;;
43;«Парк Святослава Фёдорова», Дмитровское шоссе (в центр) (43);37.54848949;55.86333482;Северный административный округ;район Западное Дегунино;"А179; А194; А215; А563; А591; А763; АТ36; АТ56; АТ78";Парк Святослава Фёдорова;в центр;да;ГУП «Мосгортранс»;активна;889076473;Дмитровское ш., д.85;;;
44;«Ильменский пр.», Дмитровское шоссе (в центр) (44);37.55318989;55.86077256;Северный административный округ;район Западное Дегунино;"А179; А194; А215; А563; А591; А763; АТ36; АТ56; АТ78";Ильменский пр.;в центр;да;ГУП «Мосгортранс»;активна;889076475;Дмитровское ш., д.79;;;
45;«Метро «Верхние Лихоборы» (сев.)», Дмитровское шоссе (в центр) (45);37.55826147;55.85821217;Северный административный округ;район Западное Дегунино;"А179; А194; А215; А563; А591; А763; Ат36; Ат56; Ат78";Метро «Верхние Лихоборы» (сев.);в центр;нет;;активна;889076476;Дмитровское ш., д.75;;;
48;«Метро «Петровско-Разумовская», Локомотивный проезд (от центра) (48);37.57585651;55.83716907;Северный административный округ;Тимирязевский район;"А114; А204; А282; А300; АТ19";Метро «Петровско-Разумовская»;от центра;да;ГУП «Мосгортранс»;активна;889076479;Локомотивный пр., д.1;;;
49;«Михалковская ул.», Большая Академическая улица (в центр) (49);37.53956854;55.83714435;Северный административный округ;район Коптево;"А114; А179; А204; А282; А300; А323; А591; АТ19; АТ57";Михалковская ул.;в центр;да;ГУП «Мосгортранс»;активна;889076480;Михалковская ул., д.2;;;
